date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:54	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Oct%202025%2019:41:54%20GMT	https://themes.webswaala.com/robots.txt		(from )
16:41:56	257424/257424	---MCZ	200	added ('OK')	text/html	date:Sat,%2004%20Oct%202025%2019:41:55%20GMT	https://themes.webswaala.com/CMS/WW74/	D:/treinamento-brigada-incendio/treinamento-brigada-incendio/themes.webswaala.com/CMS/WW74/index.html	(from )
16:41:57	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2004%20Oct%202025%2019:41:57%20GMT	http://themes.webswaala.com/CMS/WW74/wp-content/plugins/revslider/public/css/sr7.css?ver=6.7.37	D:/treinamento-brigada-incendio/treinamento-brigada-incendio/themes.webswaala.com/CMS/WW74/wp-content/plugins/revslider/public/css/sr7.06266.delayed	(from https://themes.webswaala.com/CMS/WW74/)
16:41:57	36162/36162	---MCZ	200	added ('OK')	application/rss+xml	etag:%223aae8f14abd231e2f6ceb021d709b945%22	https://themes.webswaala.com/CMS/WW74/feed/	D:/treinamento-brigada-incendio/treinamento-brigada-incendio/themes.webswaala.com/CMS/WW74/feed/index.html	(from https://themes.webswaala.com/CMS/WW74/)
16:41:57	738/738	---M-Z	200	added ('OK')	application/rss+xml	etag:%223aae8f14abd231e2f6ceb021d709b945%22	https://themes.webswaala.com/CMS/WW74/comments/feed/	D:/treinamento-brigada-incendio/treinamento-brigada-incendio/themes.webswaala.com/CMS/WW74/comments/feed/index.html	(from https://themes.webswaala.com/CMS/WW74/)
16:41:58	4367/4367	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2009:02:39%20GMT	https://themes.webswaala.com/CMS/WW74/wp-content/plugins/revslider/public/css/sr7.css?ver=6.7.37	D:/treinamento-brigada-incendio/treinamento-brigada-incendio/themes.webswaala.com/CMS/WW74/wp-content/plugins/revslider/public/css/sr76266.css	(from https://themes.webswaala.com/CMS/WW74/)
16:41:59	67439/67439	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2008:57:19%20GMT	https://themes.webswaala.com/CMS/WW74/wp-content/plugins/wp-social/assets/css/frontend.css?ver=3.1.2	D:/treinamento-brigada-incendio/treinamento-brigada-incendio/themes.webswaala.com/CMS/WW74/wp-content/plugins/wp-social/assets/css/frontend0226.css	(from https://themes.webswaala.com/CMS/WW74/)
16:41:59	43696/43696	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2008:57:19%20GMT	https://themes.webswaala.com/CMS/WW74/wp-content/plugins/wp-social/assets/css/font-icon.css?ver=3.1.2	D:/treinamento-brigada-incendio/treinamento-brigada-incendio/themes.webswaala.com/CMS/WW74/wp-content/plugins/wp-social/assets/css/font-icon0226.css	(from https://themes.webswaala.com/CMS/WW74/)
16:42:00	4719/4719	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2008:46:42%20GMT	https://themes.webswaala.com/CMS/WW74/wp-content/plugins/metform/public/assets/lib/cute-alert/style.css?ver=4.0.6	D:/treinamento-brigada-incendio/treinamento-brigada-incendio/themes.webswaala.com/CMS/WW74/wp-content/plugins/metform/public/assets/lib/cute-alert/style8603.css	(from https://themes.webswaala.com/CMS/WW74/)
16:42:00	22474/22474	---M-Z	200	added ('OK')	text/css	date:Thu,%2004%20Sep%202025%2008:46:41%20GMT	https://themes.webswaala.com/CMS/WW74/wp-content/plugins/metform/public/assets/css/text-editor.css?ver=4.0.6	D:/treinamento-brigada-incendio/treinamento-brigada-incendio/themes.webswaala.com/CMS/WW74/wp-content/plugins/metform/public/assets/css/text-editor8603.css	(from https://themes.webswaala.com/CMS/WW74/)
